filename,proj_no,hole_no,top_depth,bottom_depth,coord_x,coord_y,elevation
03795904-10207_BH-5_35.0m-40.0m.jpg,03795904-10207,BH-5,35.0,40.0,121.615003,24.654897,172.5
03795904-10207_BH-5_40.0m-45.0m.jpg,03795904-10207,BH-5,40.0,45.0,121.615003,24.654897,172.5
03795904-10207_BH-5_45.0m-50.0m.jpg,03795904-10207,BH-5,45.0,50.0,121.615003,24.654897,172.5
03795904-10207_BH-5_5.0m-10.0m.jpg,03795904-10207,BH-5,5.0,10.0,121.615003,24.654897,172.5
03795904-10207_BH-6_0.0m-5.0m.jpg,03795904-10207,BH-6,0.0,5.0,121.615566,24.65566,174.5
03795904-10207_BH-6_10.0m-15.0m.jpg,03795904-10207,BH-6,10.0,15.0,121.615566,24.65566,174.5
03795904-10207_BH-6_15.0m-20.0m.jpg,03795904-10207,BH-6,15.0,20.0,121.615566,24.65566,174.5
03795904-10207_BH-6_20.0m-25.0m.jpg,03795904-10207,BH-6,20.0,25.0,121.615566,24.65566,174.5
03795904-10207_BH-6_25.0m-30.0m.jpg,03795904-10207,BH-6,25.0,30.0,121.615566,24.65566,174.5
03795904-10207_BH-6_30.0m-35.0m.jpg,03795904-10207,BH-6,30.0,35.0,121.615566,24.65566,174.5
03795904-10207_BH-6_35.0m-40.0m.jpg,03795904-10207,BH-6,35.0,40.0,121.615566,24.65566,174.5
03795904-10207_BH-6_40.0m-45.0m.jpg,03795904-10207,BH-6,40.0,45.0,121.615566,24.65566,174.5
03795904-10207_BH-6_45.0m-50.0m.jpg,03795904-10207,BH-6,45.0,50.0,121.615566,24.65566,174.5
03795904-10207_BH-6_5.0m-10.0m.jpg,03795904-10207,BH-6,5.0,10.0,121.615566,24.65566,174.5
03795904-10207_BH-7_0.0m-5.0m.jpg,03795904-10207,BH-7,0.0,5.0,121.616423,24.655276,142.15
03795904-10207_BH-7_10.0m-15.0m.jpg,03795904-10207,BH-7,10.0,15.0,121.616423,24.655276,142.15
03795904-10207_BH-7_15.0m-20.0m.jpg,03795904-10207,BH-7,15.0,20.0,121.616423,24.655276,142.15
03795904-10207_BH-7_20.0m-25.0m.jpg,03795904-10207,BH-7,20.0,25.0,121.616423,24.655276,142.15
03795904-10207_BH-7_25.0m-30.0m.jpg,03795904-10207,BH-7,25.0,30.0,121.616423,24.655276,142.15
03795904-10207_BH-7_30.0m-35.0m.jpg,03795904-10207,BH-7,30.0,35.0,121.616423,24.655276,142.15
03795904-10207_BH-7_35.0m-40.0m.jpg,03795904-10207,BH-7,35.0,40.0,121.616423,24.655276,142.15
03795904-10207_BH-7_40.0m-45.0m.jpg,03795904-10207,BH-7,40.0,45.0,121.616423,24.655276,142.15
03795904-10207_BH-7_45.0m-50.0m.jpg,03795904-10207,BH-7,45.0,50.0,121.616423,24.655276,142.15
03795904-10207_BH-7_5.0m-10.0m.jpg,03795904-10207,BH-7,5.0,10.0,121.616423,24.655276,142.15
03795904-10207_BH-8_0.0m-5.0m.jpg,03795904-10207,BH-8,0.0,5.0,121.616551,24.655153,134.5
03795904-10207_BH-8_10.0m-15.0m.jpg,03795904-10207,BH-8,10.0,15.0,121.616551,24.655153,134.5
03795904-10207_BH-8_15.0m-20.0m.jpg,03795904-10207,BH-8,15.0,20.0,121.616551,24.655153,134.5
03795904-10207_BH-8_20.0m-25.0m.jpg,03795904-10207,BH-8,20.0,25.0,121.616551,24.655153,134.5
03795904-10207_BH-8_25.0m-30.0m.jpg,03795904-10207,BH-8,25.0,30.0,121.616551,24.655153,134.5
03795904-10207_BH-8_30.0m-35.0m.jpg,03795904-10207,BH-8,30.0,35.0,121.616551,24.655153,134.5
03795904-10207_BH-8_35.0m-40.0m.jpg,03795904-10207,BH-8,35.0,40.0,121.616551,24.655153,134.5
03795904-10207_BH-8_40.0m-45.0m.jpg,03795904-10207,BH-8,40.0,45.0,121.616551,24.655153,134.5
03795904-10207_BH-8_45.0m-50.0m.jpg,03795904-10207,BH-8,45.0,50.0,121.616551,24.655153,134.5
03795904-10207_BH-8_5.0m-10.0m.jpg,03795904-10207,BH-8,5.0,10.0,121.616551,24.655153,134.5
04123187T107003_AH-11_23.7m-27.0m.jpg,04123187T107003,AH-11,23.7,27.0,121.582158,25.038239,8.28
04123187T107003_AH-1_20.5m-25.0m.jpg,04123187T107003,AH-1,20.5,25.0,121.582342,25.038025,8.4
04123187T107003_AH-1_25.0m-28.8m.jpg,04123187T107003,AH-1,25.0,28.8,121.582342,25.038025,8.4
04123187T107003_AH-2_19.0m-24.0m.jpg,04123187T107003,AH-2,19.0,24.0,121.582416,25.037884,8.78
04123187T107003_AH-2_24.0m-27.0m.jpg,04123187T107003,AH-2,24.0,27.0,121.582416,25.037884,8.78
04123187T107003_AH-2_27.0m-30.0m.jpg,04123187T107003,AH-2,27.0,30.0,121.582416,25.037884,8.78
04123187T107003_AH-3_17.0m-22.0m.jpg,04123187T107003,AH-3,17.0,22.0,121.582127,25.037836,8.7
04123187T107003_AH-3_22.0m-23.6m.jpg,04123187T107003,AH-3,22.0,23.6,121.582127,25.037836,8.7
100466240991262064_B3-01_0.0m-12.0m.jpg,100466240991262064,B3-01,0.0,12.0,121.356694,24.954982,51.27
100466240991262064_B4-01_0.0m-10.0m.jpg,100466240991262064,B4-01,0.0,10.0,121.372807,24.931496,35.55
100466240991262064_B4-02_0.0m-10.0m.jpg,100466240991262064,B4-02,0.0,10.0,121.371097,24.927515,37.24
100466240991262064_B5-01_0.0m-10.0m.jpg,100466240991262064,B5-01,0.0,10.0,121.342153,24.955645,56.32
100466240991262064_B5-02_0.0m-10.0m.jpg,100466240991262064,B5-02,0.0,10.0,121.344228,24.950118,60.9
100466240991262064_B5-03_0.0m-10.0m.jpg,100466240991262064,B5-03,0.0,10.0,121.337753,24.948645,69.84
100466240991262064_B6-01_0.0m-16.0m.jpg,100466240991262064,B6-01,0.0,16.0,121.375377,24.933107,33.74
100466240991262064_B6-02_0.0m-10.0m.jpg,100466240991262064,B6-02,0.0,10.0,121.367627,24.927897,40.52
100466240991262064_B7-01_0.0m-10.0m.jpg,100466240991262064,B7-01,0.0,10.0,121.340268,24.936176,56.34
100466240991262064_B7-02_0.0m-10.0m.jpg,100466240991262064,B7-02,0.0,10.0,121.337912,24.940841,58.27
100466240991262064_B7-03_0.0m-10.0m.jpg,100466240991262064,B7-03,0.0,10.0,121.347914,24.949219,47.02
100466240991262064_B7-04_0.0m-10.0m.jpg,100466240991262064,B7-04,0.0,10.0,121.334168,24.93891,62.55
100466240991262064_B7-05_0.0m-10.0m.jpg,100466240991262064,B7-05,0.0,10.0,121.335922,24.941687,58.76
100466240991262064_B7-06_0.0m-10.0m.jpg,100466240991262064,B7-06,0.0,10.0,121.329279,24.933582,65.62
